city,city_zh,year,metric,candidate_value,candidate_unit,source_urls,source_titles,extracted_texts,confidence,reviewer_approved,notes
Beijing,北京,2025,gdp_per_capita,,yuan/person,,,,dry_run,,
Shanghai,上海,2025,gdp_per_capita,,yuan/person,,,,dry_run,,
Shenzhen,深圳,2025,gdp_per_capita,,yuan/person,,,,dry_run,,
Guangzhou,广州,2025,gdp_per_capita,,yuan/person,,,,dry_run,,
Hangzhou,杭州,2025,gdp_per_capita,,yuan/person,,,,dry_run,,
Nanjing,南京,2025,gdp_per_capita,,yuan/person,,,,dry_run,,
Suzhou,苏州,2025,gdp_per_capita,,yuan/person,,,,dry_run,,
Chengdu,成都,2025,gdp_per_capita,,yuan/person,,,,dry_run,,
Wuhan,武汉,2025,gdp_per_capita,,yuan/person,,,,dry_run,,
Changsha,长沙,2025,gdp_per_capita,,yuan/person,,,,dry_run,,
Zhengzhou,郑州,2025,gdp_per_capita,,yuan/person,,,,dry_run,,
Chongqing,重庆,2025,gdp_per_capita,,yuan/person,,,,dry_run,,
Shenyang,沈阳,2025,gdp_per_capita,,yuan/person,,,,dry_run,,
Beijing,北京,2025,disposable_income,,yuan/person,,,,dry_run,,
Shanghai,上海,2025,disposable_income,,yuan/person,,,,dry_run,,
Shenzhen,深圳,2025,disposable_income,,yuan/person,,,,dry_run,,
Guangzhou,广州,2025,disposable_income,,yuan/person,,,,dry_run,,
Hangzhou,杭州,2025,disposable_income,,yuan/person,,,,dry_run,,
Nanjing,南京,2025,disposable_income,,yuan/person,,,,dry_run,,
Suzhou,苏州,2025,disposable_income,,yuan/person,,,,dry_run,,
Chengdu,成都,2025,disposable_income,,yuan/person,,,,dry_run,,
Wuhan,武汉,2025,disposable_income,,yuan/person,,,,dry_run,,
Xiamen,厦门,2025,disposable_income,,yuan/person,,,,dry_run,,
Zhengzhou,郑州,2025,disposable_income,,yuan/person,,,,dry_run,,
Chongqing,重庆,2025,disposable_income,,yuan/person,,,,dry_run,,
Shenyang,沈阳,2025,disposable_income,,yuan/person,,,,dry_run,,
Beijing,北京,2025,population,,person,,,,dry_run,,
Shanghai,上海,2025,population,,person,,,,dry_run,,
Shenzhen,深圳,2025,population,,person,,,,dry_run,,
Guangzhou,广州,2025,population,,person,,,,dry_run,,
Hangzhou,杭州,2025,population,,person,,,,dry_run,,
Nanjing,南京,2025,population,,person,,,,dry_run,,
Suzhou,苏州,2025,population,,person,,,,dry_run,,
Chengdu,成都,2025,population,,person,,,,dry_run,,
Changsha,长沙,2025,population,,person,,,,dry_run,,
Zhengzhou,郑州,2025,population,,person,,,,dry_run,,
Chongqing,重庆,2025,population,,person,,,,dry_run,,
Shenyang,沈阳,2025,population,,person,,,,dry_run,,
Chengdu,成都,2025,rd_expenditure,,100 million yuan,,,,dry_run,,
Hefei,合肥,2025,rd_expenditure,,100 million yuan,,,,dry_run,,
Xiamen,厦门,2025,rd_expenditure,,100 million yuan,,,,dry_run,,
Zhengzhou,郑州,2025,rd_expenditure,,100 million yuan,,,,dry_run,,
Shenyang,沈阳,2025,rd_expenditure,,100 million yuan,,,,dry_run,,
Kunming,昆明,2025,rd_expenditure,,100 million yuan,,,,dry_run,,
Nanchang,南昌,2025,rd_expenditure,,100 million yuan,,,,dry_run,,
